rank,title,author,kepub_book_no,kepub_book_name,kepub_author,kepub_book_url,kepub_fulltext_url,match_score,match_status
1,呐喊,鲁迅,1109,呐喊,鲁迅,https://www.kepub.net/book/1109,https://www.kepub.net/book/1109/10001,105,matched
2,边城,沈从文,,,,,,5,no_match
3,骆驼祥子,老舍,1107,骆驼祥子,老舍,https://www.kepub.net/book/1107,https://www.kepub.net/book/1107/10001,105,matched
4,传奇,张爱玲,,,,,,5,no_match
5,围城,钱锺书,,,,,,0,no_match
6,子夜,茅盾,,,,,,5,no_match
7,台北人,白先勇,,,,,,0,no_match
8,家,巴金,,,,,,35,no_match
9,呼兰河传,萧红,11002,呼兰河传,萧红,https://www.kepub.net/book/11002,https://www.kepub.net/book/11002/10002,105,matched
10,老残游记,刘鹗,50002,老残游记,刘鹗,https://www.kepub.net/book/50002,,105,matched
11,寒夜,巴金,,,,,,5,no_match
12,彷徨,鲁迅,1098,彷徨,鲁迅,https://www.kepub.net/book/1098,https://www.kepub.net/book/1098/10001,105,matched
13,官场现形记,李伯元,1097,官场现形记,李伯元,https://www.kepub.net/book/1097,,105,matched
14,财主底儿女们,路翎,,,,,,0,no_match
15,将军族,陈映真,,,,,,0,no_match
16,沉沦,郁达夫,10005,沉沦,郁达夫,https://www.kepub.net/book/10005,,105,matched
17,死水微澜,李劼人,1093,死水微澜,李劼人,https://www.kepub.net/book/1093,https://www.kepub.net/book/1093/10001,105,matched
18,红高粱,莫言,,,,,,0,no_match
19,小二黑结婚,赵树理,1091,小二黑结婚,赵树理,https://www.kepub.net/book/1091,,105,matched
20,棋王,锺阿城,,,,,,0,no_match
21,家变,王文兴,,,,,,0,no_match
22,马桥词典,韩少功,,,,,,0,no_match
23,亚细亚的孤儿,吴浊流,,,,,,0,no_match
24,半生缘,张爱玲,,,,,,0,no_match
25,四世同堂,老舍,1084,四世同堂,老舍,https://www.kepub.net/book/1084,https://www.kepub.net/book/1084/10001,105,matched
26,胡雪岩,高阳,,,,,,0,no_match
27,啼笑因缘,张恨水,1080,啼笑因缘,张恨水,https://www.kepub.net/book/1080,https://www.kepub.net/book/1080/10001,105,matched
28,儿子的大玩偶,黄春明,,,,,,0,no_match
29,射雕英雄传,金庸,,,,,,0,no_match
30,莎菲女士的日记,丁玲,,,,,,0,no_match
31,鹿鼎记,金庸,,,,,,0,no_match
32,孽海花,曾朴,1068,孽海花,曾朴,https://www.kepub.net/book/1068,,105,matched
33,惹事,赖和,1067,惹事,赖和,https://www.kepub.net/book/1067,,105,matched
34,嫁妆一牛车,王祯和,,,,,,0,no_match
35,异域,柏杨,,,,,,0,no_match
36,曾国藩,唐浩明,,,,,,0,no_match
37,原乡人,锺理和,1063,原乡人,钟理和,https://www.kepub.net/book/1063,,105,matched
38,白鹿原,陈忠实,,,,,,0,no_match
39,长恨歌,王安忆,,,,,,0,no_match
40,吉陵春秋,李永平,,,,,,0,no_match
41,黄祸,王力雄,,,,,,0,no_match
42,狂风沙,司马中原,,,,,,0,no_match
43,艳阳天,浩然,,,,,,0,no_match
44,公墓,穆时英,10004,公墓,穆时英,https://www.kepub.net/book/10004,,105,matched
45,旧址,李锐,,,,,,5,no_match
46,星星·月亮·太阳,徐速,,,,,,0,no_match
47,台湾人三部曲,锺肇政,,,,,,0,no_match
48,洗澡,杨绛,,,,,,0,no_match
49,旋风,姜贵,,,,,,5,no_match
50,荷花淀,孙犁,,,,,,0,no_match
51,我城,西西,,,,,,0,no_match
52,受戒,汪曾祺,,,,,,0,no_match
53,铁浆,朱西甯,,,,,,0,no_match
54,世纪末的华丽,朱天文,,,,,,0,no_match
55,蜀山剑侠传,还珠楼主,1042,蜀山剑侠传,还珠楼主,https://www.kepub.net/book/1042,,105,matched
56,又见棕榈，又见棕榈,于梨华,,,,,,0,no_match
57,浮躁,贾平凹,,,,,,0,no_match
58,组织部新来的年轻人,王蒙,,,,,,0,no_match
59,玉梨魂,徐枕亚,1038,玉梨魂,徐枕亚,https://www.kepub.net/book/1038,,105,matched
60,香港三部曲,施叔青,,,,,,0,no_match
61,京华烟云,林语堂,,,,,,0,no_match
62,倪焕之,叶圣陶,,,,,,5,no_match
63,春桃,许地山,1034,春桃,许地山,https://www.kepub.net/book/1034,,105,matched
64,桑青与桃红,聂华苓,,,,,,0,no_match
65,蓝与黑,王蓝,,,,,,0,no_match
66,二月,柔石,1031,二月,柔石,https://www.kepub.net/book/1031,https://www.kepub.net/book/1031/10001,105,matched
67,风萧萧,徐𬣙,,,,,,0,error:HTTP 500
68,芙蓉镇,古华,,,,,,0,no_match
69,地之子,台静农,,,,,,35,no_match
70,城南旧事,林海音,,,,,,0,no_match
71,古船,张炜,,,,,,0,no_match
72,酒徒,刘以鬯,,,,,,0,no_match
73,未央歌,鹿桥,,,,,,0,no_match
74,沉重的翅膀,张洁,,,,,,0,no_match
75,果园城记,师陀,,,,,,0,no_match
76,人啊，人！,戴厚英,,,,,,0,no_match
77,黄金时代,王小波,,,,,,0,no_match
78,狗日的粮食,刘恒,,,,,,0,no_match
79,棋王,张系国,,,,,,0,no_match
80,赖索,黄凡,,,,,,0,no_match
81,妻妾成群,苏童,,,,,,0,no_match
82,霸王别姬,李碧华,,,,,,0,no_match
83,杀夫,李昂,,,,,,0,no_match
84,楚留香,古龙,,,,,,0,no_match
85,窗外,琼瑶,1110,窗外,琼瑶,https://www.kepub.net/book/1110,,105,matched
86,沉默之岛,苏伟贞,,,,,,0,no_match
87,白发魔女传,梁羽生,,,,,,0,no_match
88,古都,朱天心,,,,,,35,no_match
89,尹县长,陈若曦,,,,,,0,no_match
90,四喜忧国,张大春,,,,,,0,no_match
91,喜宝,亦舒,,,,,,0,no_match
92,男人的一半是女人,张贤亮,,,,,,0,no_match
93,将军底头,施蛰存,,,,,,0,no_match
94,蓝血人,倪匡,,,,,,0,no_match
95,二十年目睹之怪现状,吴趼人,1006,二十年目睹之怪现状,吴趼人,https://www.kepub.net/book/1006,,105,matched
96,活着,余华,,,,,,5,no_match
97,冈底斯的诱惑,马原,,,,,,0,no_match
98,十年十意,林斤澜,,,,,,0,no_match
99,北极风情画,无名氏,,,,,,25,no_match
100,雍正皇帝,二月河,,,,,,0,no_match